0          References for Cross Section of O(1D)     O+      
Cross section:                                                                  
Lambda = 1.00 - 130.00 A                                                        
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)                        
   J. Quant. Spectr. Rad. Trans. 12, 1409.                                      
Lambda = 130. - 200.00 A                                                        
   Henry, R. J. W. (1970)                                                       
   Astrophys. J. 161, 1153.                                                     
Lambda = 227.30 - 790.10 A                                                      
   TOPbase:  Photoionisation Cross Sections,                                    
   http://cdsweb.u-strasbg.fr/topbase/xsections.html.                           
Threshold:                                                                      
Lambda = 827.90 A                                                               
   Moore, C. E. (1970)                                                          
   Ionization Potentials and Ionization Limits Derived from the Analyses of     
   Optical Spectra, NSRDS-NBS 34.                                               
                                                                                
0 Branching ratio for O(1D)    O+           0 branches
  Lambda  O+      
    1.00  7.00E-23
    5.00  1.00E-20
   10.00  6.80E-20
   12.00  1.10E-19
   14.00  1.70E-19
   15.00  2.00E-19
   16.00  2.30E-19
   17.00  2.80E-19
   18.00  3.20E-19
   19.00  3.60E-19
   20.00  4.30E-19
   21.00  4.70E-19
   22.00  5.40E-19
   22.50  5.60E-19
   23.50  2.90E-20
   24.00  3.10E-20
   25.00  3.40E-20
   26.00  3.80E-20
   28.00  4.60E-20
   30.00  5.40E-20
   35.00  7.80E-20
   40.00  1.10E-19
   45.00  1.40E-19
   50.00  1.80E-19
   55.00  2.30E-19
   60.00  2.90E-19
   65.00  3.70E-19
   70.00  4.50E-19
   75.00  5.50E-19
   80.00  6.50E-19
   85.00  8.00E-19
   90.00  9.50E-19
   95.00  1.10E-18
  100.00  1.25E-18
  110.00  1.60E-18
  120.00  2.00E-18
  130.00  2.30E-18
  150.00  2.77E-18
  200.00  4.01E-18
  227.30  4.78E-18
  231.90  5.07E-18
  236.60  5.39E-18
  245.80  5.75E-18
  246.00  5.75E-18
  246.30  5.77E-18
  246.80  5.78E-18
  247.60  5.81E-18
  249.10  5.86E-18
  252.50  5.97E-18
  319.60  7.99E-18
  328.10  8.60E-18
  328.40  8.65E-18
  328.90  8.72E-18
  329.70  8.75E-18
  331.00  8.55E-18
  333.30  8.80E-18
  333.40  8.55E-18
  338.10  8.68E-18
  338.20  9.21E-18
  338.40  8.67E-18
  347.30  8.60E-18
  347.70  8.59E-18
  351.70  8.57E-18
  351.80  8.91E-18
  351.90  1.02E-17
  352.00  1.07E-17
  352.10  1.01E-17
  352.30  9.36E-18
  353.20  9.08E-18
  357.10  9.00E-18
  358.50  9.18E-18
  371.50  9.39E-18
  373.50  9.82E-18
  373.80  9.30E-18
  387.10  9.78E-18
  387.20  9.50E-18
  387.30  9.77E-18
  387.40  1.11E-17
  387.50  9.62E-18
  387.60  9.53E-18
  387.80  9.70E-18
  387.90  1.11E-17
  388.00  9.68E-18
  388.50  9.04E-18
  388.60  1.21E-17
  388.80  9.84E-18
  389.50  8.41E-18
  389.60  1.09E-17
  389.70  1.18E-17
  389.80  1.01E-17
  391.20  8.94E-18
  391.30  8.91E-18
  391.40  1.42E-17
  391.50  1.20E-17
  391.70  1.02E-17
  394.10  9.43E-18
  394.30  8.56E-18
  394.40  1.08E-17
  394.50  9.52E-18
  394.60  1.09E-17
  394.70  1.58E-17
  394.80  1.22E-17
  394.90  1.10E-17
  395.20  1.03E-17
  400.50  9.62E-18
  400.70  8.92E-18
  400.80  7.81E-18
  401.00  6.00E-18
  401.10  1.21E-17
  401.20  8.86E-18
  401.30  7.48E-18
  401.40  5.36E-18
  401.50  3.07E-17
  401.60  1.60E-17
  401.70  1.31E-17
  401.80  1.21E-17
  401.90  1.15E-17
  402.40  1.07E-17
  405.20  1.02E-17
  417.60  1.06E-17
  418.20  1.02E-17
  418.50  9.16E-18
  419.10  7.38E-18
  419.50  1.56E-17
  419.80  1.00E-17
  420.50  8.03E-18
  420.80  6.19E-18
  421.20  3.18E-17
  421.50  1.58E-17
  421.90  1.30E-17
  422.20  1.21E-17
  423.00  1.14E-17
  426.60  1.09E-17
  491.40  1.23E-17
  533.00  1.43E-17
  555.40  1.69E-17
  583.80  2.38E-17
  591.20  2.32E-17
  611.20  1.55E-17
  624.70  1.29E-17
  643.80  1.16E-17
  752.90  2.56E-17
  753.00  8.64E-18
  753.10  2.46E-17
  753.20  8.67E-18
  753.90  7.79E-18
  754.40  1.75E-17
  754.50  8.37E-18
  754.60  2.54E-17
  754.70  1.10E-17
  754.80  8.23E-18
  755.80  7.76E-18
  756.40  1.45E-17
  756.50  1.57E-17
  756.60  8.06E-18
  756.80  1.95E-17
  756.90  9.41E-18
  757.10  8.18E-18
  758.70  7.71E-18
  759.40  7.61E-18
  759.50  2.30E-17
  759.60  8.95E-18
