0          References for Cross Section of OHe       Total   
(Experimental)                                                                  
Cross section                                                                  
Lambda = .61-625.8 A                                                            
   Barfield, W. D., Koontz, G. D., Huebner, W. F. (1972)                        
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
Lambda = 1150.-1830. A                                                          
   Nee, J. B., Lee, L. C.                                                       
   J. Chem. Phys. 81, 31 (1984)                                                 
Threshold                                                                      
   Huber, K.-P., Herzberg, G. (1979)                                            
   Molecular Spectra and Molecular sStructure, Vol. 4, Van Nostrand Reinhold, Ne
                                                                                
0          References for Cross Section of OHe       OH     
                                                                                
0          References for Cross Section of OHe       O1SH   
                                                                                
0          References for Cross Section of OHe       OH+     
                                                                                
0 Branching ratio for OHe      Total        4 branches
 Lambda  Total   OH      O1SH    OH+      O1DH   
    0.6 1.50E-23 0.00E+00 0.00E+00 1.50E-23 0.00E+00
    1.2 1.45E-22 0.00E+00 0.00E+00 1.45E-22 0.00E+00
    2.4 1.15E-21 0.00E+00 0.00E+00 1.15E-21 0.00E+00
    6.2 1.78E-20 0.00E+00 0.00E+00 1.78E-20 0.00E+00
   12.6 1.29E-19 0.00E+00 0.00E+00 1.29E-19 0.00E+00
   24.6 3.53E-20 0.00E+00 0.00E+00 3.53E-20 0.00E+00
   62.1 3.52E-19 0.00E+00 0.00E+00 3.52E-19 0.00E+00
  121.7 1.62E-18 0.00E+00 0.00E+00 1.62E-18 0.00E+00
  248.6 5.64E-18 0.00E+00 0.00E+00 5.64E-18 0.00E+00
  625.8 1.59E-17 0.00E+00 0.00E+00 1.59E-17 0.00E+00
  930.0 7.00E-20 0.00E+00 0.00E+00 0.00E+00 7.00E-20
 1150.0 1.10E-17 0.00E+00 2.83E-18 0.00E+00 8.17E-18
 1200.0 1.50E-17 0.00E+00 1.97E-18 0.00E+00 1.30E-17
 1215.0 1.50E-17 0.00E+00 1.77E-18 0.00E+00 1.32E-17
 1220.0 4.30E-17 0.00E+00 4.49E-18 0.00E+00 3.85E-17
 1230.0 3.50E-18 0.00E+00 2.05E-19 0.00E+00 3.29E-18
 1245.0 2.10E-17 8.75E-21 3.06E-19 0.00E+00 2.07E-17
 1250.0 9.50E-18 7.92E-21 8.71E-20 0.00E+00 9.41E-18
 1275.0 1.20E-17 4.32E-20 5.28E-20 0.00E+00 1.19E-17
 1300.0 1.10E-17 7.08E-20 1.72E-20 0.00E+00 1.09E-17
 1350.0 6.00E-18 1.48E-18 2.30E-21 0.00E+00 4.51E-18
 1400.0 6.00E-18 3.91E-18 0.00E+00 0.00E+00 2.09E-18
 1450.0 5.50E-18 5.18E-18 0.00E+00 0.00E+00 3.19E-19
 1500.0 4.00E-18 3.97E-18 0.00E+00 0.00E+00 3.20E-20
 1550.0 2.50E-18 2.50E-18 0.00E+00 0.00E+00 2.50E-21
 1600.0 3.00E-18 3.00E-18 0.00E+00 0.00E+00 2.88E-21
 1650.0 5.50E-18 5.49E-18 0.00E+00 0.00E+00 5.07E-21
 1680.0 6.50E-18 6.49E-18 0.00E+00 0.00E+00 5.84E-21
 1700.0 6.00E-18 5.99E-18 0.00E+00 0.00E+00 5.29E-21
 1750.0 3.00E-18 3.00E-18 0.00E+00 0.00E+00 2.53E-21
 1800.0 1.50E-18 1.50E-18 0.00E+00 0.00E+00 1.21E-21
 1830.0 1.00E-19 9.99E-20 0.00E+00 0.00E+00 7.80E-23
 1900.0 1.00E-20 9.99E-21 0.00E+00 0.00E+00 7.25E-24
 2000.0 1.00E-21 9.99E-22 0.00E+00 0.00E+00 6.47E-25
 2100.0 1.00E-22 9.99E-23 0.00E+00 0.00E+00 5.68E-26
 2200.0 1.00E-23 1.00E-23 0.00E+00 0.00E+00 4.89E-27
 2300.0 1.00E-24 1.00E-24 0.00E+00 0.00E+00 4.11E-28
 2437.9 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.51E-28
 2438.9 1.20E-20 1.20E-20 0.00E+00 0.00E+00 3.62E-24
 2439.9 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.50E-28
 2443.1 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.49E-28
 2444.1 1.05E-19 1.05E-19 0.00E+00 0.00E+00 3.13E-23
 2445.1 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.48E-28
 2446.5 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.48E-28
 2447.5 2.44E-19 2.44E-19 0.00E+00 0.00E+00 7.20E-23
 2448.3 1.00E-20 1.00E-20 0.00E+00 0.00E+00 2.94E-24
 2449.2 1.51E-19 1.51E-19 0.00E+00 0.00E+00 4.43E-23
 2450.2 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.46E-28
 2602.1 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.21E-29
 2603.1 7.32E-20 7.32E-20 0.00E+00 0.00E+00 1.26E-23
 2604.1 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.16E-29
 2608.3 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.06E-29
 2609.3 6.43E-19 6.43E-19 0.00E+00 0.00E+00 1.08E-22
 2610.3 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.01E-29
 2612.4 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.96E-29
 2613.4 1.49E-18 1.49E-18 0.00E+00 0.00E+00 2.45E-22
 2614.4 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.92E-29
 2614.5 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.91E-29
 2615.5 9.21E-19 9.21E-19 0.00E+00 0.00E+00 1.50E-22
