Solar Flux predicition from Claire et al, 2012
Computed for 4.40000 Ga and 1.00000 AU
wavelength (nm)   flux (photons/cm^2/s/nm)
     0.500000   1.2800036e+09
      1.50000   2.5598506e+09
      2.50000   5.3398781e+09
      3.50000   4.7949690e+09
      4.50000   8.3875226e+09
      5.50000   1.7325859e+10
      6.50000   1.7908385e+10
      7.50000   2.1328566e+10
      8.50000   1.4484203e+10
      9.50000   1.7863930e+10
      10.5000   6.7430258e+09
      11.5000   5.2041729e+09
      12.5000   3.4849628e+09
      13.5000   3.5713309e+09
      14.5000   1.1983039e+10
      15.5000   1.5191852e+10
      16.5000   2.1623677e+10
      17.5000   9.9963853e+10
      18.5000   5.1876086e+10
      19.5000   5.5376416e+10
      20.5000   2.7751869e+10
      21.5000   2.2117942e+10
      22.5000   3.1962913e+10
      23.5000   1.6471125e+10
      24.5000   4.2430030e+10
      25.5000   7.1748097e+10
      26.5000   2.4467133e+10
      27.5000   4.3895966e+10
      28.5000   6.0957354e+11
      29.5000   1.5935908e+10
      30.5000   8.7699064e+11
      31.5000   6.7804304e+10
      32.5000   9.5530570e+10
      33.5000   9.5089623e+10
      34.5000   4.1171149e+10
      35.5000   3.5838866e+10
      36.5000   7.9118203e+11
      37.5000   8.1811411e+09
      38.5000   3.5414513e+09
      39.5000   3.5512769e+09
      40.5000   6.0048086e+09
      41.5000   1.1871470e+10
      42.5000   2.9568805e+09
      43.5000   6.9374556e+09
      44.5000   2.7382142e+09
      45.5000   3.0804957e+09
      46.5000   1.1190975e+10
      47.5000   4.4636809e+09
      48.5000   7.4629464e+09
      49.5000   2.6665614e+10
      50.5000   1.0899103e+10
      51.5000   3.7454705e+09
      52.5000   6.6153591e+09
      53.5000   4.8853832e+09
      54.5000   3.1542896e+09
      55.5000   1.4143235e+10
      56.5000   4.3165412e+09
      57.5000   4.3035428e+09
      58.5000   2.4386067e+10
      59.5000   5.0896022e+09
      60.5000   2.0931292e+10
      61.5000   6.3619193e+09
      62.5000   2.7606873e+10
      63.5000   6.9815206e+09
      64.5000   1.5910065e+09
      65.5000   1.2546017e+09
      66.5000   1.1102739e+09
      67.5000   1.1367935e+09
      68.5000   3.9131345e+09
      69.5000   2.8958137e+09
      70.5000   7.5465717e+09
      71.5000   3.2971118e+09
      72.5000   2.4817309e+09
      73.5000   3.2232121e+09
      74.5000   3.9586613e+09
      75.5000   6.0061853e+09
      76.5000   1.5082719e+10
      77.5000   1.3845226e+10
      78.5000   1.9214543e+10
      79.5000   8.9424395e+09
      80.5000   9.2208364e+09
      81.5000   1.0430138e+10
      82.5000   1.5343081e+10
      83.5000   2.5896620e+10
      84.5000   1.8869044e+10
      85.5000   2.0905127e+10
      86.5000   2.2046263e+10
      87.5000   2.6100025e+10
      88.5000   2.9666544e+10
      89.5000   3.5881048e+10
      90.5000   4.2014136e+10
      91.5000   3.1925789e+10
      92.5000   1.1330520e+10
      93.5000   9.8561760e+09
      94.5000   6.9844849e+09
      95.5000   3.9940355e+09
      96.5000   4.1264883e+09
      97.5000   1.1241865e+11
      98.5000   8.2938251e+09
      99.5000   1.2710250e+10
      100.500   5.1135968e+09
      101.500   5.8686427e+09
      102.500   3.2923837e+11
      103.500   1.6418261e+11
      104.500   7.9270122e+09
      105.500   6.6626162e+09
      106.500   6.2958038e+09
      107.500   6.6312749e+09
      108.500   1.1038766e+10
      109.500   7.3708550e+09
      110.500   7.7988649e+09
      111.500   7.0213635e+09
      112.500   7.6919762e+09
      113.500   5.8796824e+09
      114.500   3.9461923e+09
      115.500   6.4306203e+09
      116.500   7.2107328e+09
      117.500   1.1652589e+11
      118.500   7.9816167e+09
      119.500   2.6532100e+10
      119.750   2.5571833e+10
      119.800   2.6708155e+10
      119.850   2.8096243e+10
      119.900   2.9384897e+10
      119.950   3.0176750e+10
      120.000   3.0159247e+10
      120.050   2.9333420e+10
      120.100   2.7905798e+10
      120.150   2.6325325e+10
      120.200   2.5054174e+10
      120.250   2.4726318e+10
      120.300   2.7709089e+10
      120.350   3.8570190e+10
      120.400   6.1305854e+10
      120.450   9.6436352e+10
      120.500   4.2448504e+11
      120.550   5.4983642e+11
      120.600   6.3236869e+11
      120.650   6.4439352e+11
      120.700   5.8114442e+11
      120.750   1.5276044e+11
      120.800   1.6263180e+11
      120.850   1.1161362e+11
      120.900   7.8087109e+10
      120.950   6.3984478e+10
      121.000   6.4874750e+10
      121.050   7.4781728e+10
      121.100   9.4417737e+10
      121.150   1.5043613e+11
      121.200   3.7634771e+11
      121.250   1.1307358e+12
      121.300   2.8910770e+12
      121.350   5.8670761e+12
      121.400   9.7927262e+12
      121.450   1.3968061e+13
      121.500   1.7306765e+13
      121.550   1.8680414e+13
      121.600   1.7628604e+13
      121.650   1.4558640e+13
      121.700   1.0501032e+13
      121.750   6.5270020e+12
      121.800   3.4342967e+12
      121.850   1.5267524e+12
      121.900   6.2150411e+11
      121.950   2.8729790e+11
      122.000   1.6973369e+11
      122.050   1.1697557e+11
      122.100   8.6480704e+10
      122.150   6.8409530e+10
      122.200   5.7281999e+10
      122.250   4.9732518e+10
      122.300   4.4232405e+10
      122.350   4.0068904e+10
      122.400   3.6810203e+10
      122.450   2.2766262e+10
      122.500   2.1415895e+10
      122.550   2.0427965e+10
      122.600   1.9774574e+10
      122.650   1.9354769e+10
      122.700   1.9058634e+10
      122.750   1.8803834e+10
      122.800   1.8457988e+10
      122.850   1.7957355e+10
      122.900   1.7356850e+10
      122.950   1.6665716e+10
      123.000   1.5929625e+10
      123.050   1.5248808e+10
      123.100   1.4709668e+10
      123.150   1.4316570e+10
      123.200   1.4060227e+10
      123.250   1.3913190e+10
      123.300   1.3811711e+10
      123.350   1.3723938e+10
      123.400   1.3609001e+10
      123.450   1.3439711e+10
      123.500   1.3397556e+10
      123.550   1.3935709e+10
      123.600   1.5565461e+10
      123.650   1.8484676e+10
      123.700   2.2637327e+10
      123.750   2.7320343e+10
      123.800   3.1175975e+10
      123.850   3.2916666e+10
      123.900   3.2215271e+10
      123.950   2.9472542e+10
      124.000   2.5869733e+10
      124.050   2.2956142e+10
      124.100   2.1660256e+10
      124.150   2.1826622e+10
      124.200   2.2592350e+10
      124.250   2.2915843e+10
      124.300   2.2018544e+10
      124.350   1.9812027e+10
      124.400   1.6923486e+10
      124.450   1.4190402e+10
      124.500   1.2161058e+10
      124.550   1.0978330e+10
      124.600   1.0524312e+10
      124.650   1.0465797e+10
      124.700   1.0461183e+10
      124.750   1.0398254e+10
      124.800   1.0326408e+10
      124.850   1.0299441e+10
      124.900   1.0362093e+10
      124.950   1.0482899e+10
      125.000   1.0545408e+10
      125.050   1.0558644e+10
      125.100   1.0638943e+10
      125.150   1.0844330e+10
      125.200   1.1299742e+10
      125.250   1.2053977e+10
      125.300   1.2878965e+10
      125.350   1.3524732e+10
      125.400   1.3893393e+10
      125.450   1.3936274e+10
      125.500   1.3742935e+10
      125.550   1.3545307e+10
      125.600   1.3508131e+10
      125.650   1.3782503e+10
      125.700   1.4577077e+10
      125.750   1.6042335e+10
      125.800   1.8266269e+10
      125.850   2.1070172e+10
      125.900   2.3893776e+10
      125.950   2.5924820e+10
      126.000   2.6534388e+10
      126.050   2.5378483e+10
      126.100   2.2588006e+10
      126.150   1.9170872e+10
      126.200   1.6837341e+10
      126.250   1.7068870e+10
      126.300   2.0304492e+10
