H2O (wavelength = nm, xs = cm2/molecule)
wavelength          300K                
9.25000000e+01      6.23302100e-18      
9.26592593e+01      3.56139086e-18      
9.28185185e+01      1.50831793e-18      
9.29777778e+01      5.18893716e-19      
9.31370370e+01      1.37029521e-17      
9.32962963e+01      5.93260629e-18      
9.34555556e+01      2.90458535e-18      
9.36148148e+01      9.33470167e-19      
9.37740741e+01      2.50691455e-18      
9.39333333e+01      1.36649091e-17      
9.40925926e+01      5.20059614e-18      
9.42518519e+01      1.37180291e-18      
9.44111111e+01      4.77422333e-19      
9.45703704e+01      5.62091530e-18      
9.47296296e+01      2.32030008e-17      
9.48888889e+01      1.11663867e-17      
9.50481481e+01      2.72627974e-18      
9.52074074e+01      9.14740515e-20      
9.53666667e+01      1.83958937e-18      
9.55259259e+01      1.94560274e-17      
9.56851852e+01      7.77464224e-18      
9.58444444e+01      2.16626006e-18      
9.60037037e+01      6.27336692e-19      
9.61629630e+01      2.95978426e-18      
9.63222222e+01      1.32180614e-17      
9.64814815e+01      6.27185643e-18      
9.66407407e+01      4.81339017e-18      
9.68000000e+01      2.78765800e-18      
9.69592593e+01      1.80390027e-18      
9.71185185e+01      1.05876326e-17      
9.72777778e+01      1.61136760e-17      
9.74370370e+01      9.28011142e-18      
9.75962963e+01      4.36901633e-18      
9.77555556e+01      1.01995046e-18      
9.79148148e+01      7.64624227e-19      
9.80740741e+01      3.58123641e-18      
9.82333333e+01      2.34276751e-17      
9.83925926e+01      8.74856742e-18      
9.85518519e+01      1.91433555e-18      
9.87111111e+01      1.04536840e-18      
9.88703704e+01      4.54504212e-19      
9.90296296e+01      9.49737032e-19      
9.91888889e+01      2.93146371e-17      
9.93481481e+01      1.77483379e-17      
9.95074074e+01      5.19181454e-18      
9.96666667e+01      1.23587267e-18      
9.98259259e+01      6.95904598e-19      
9.99851852e+01      2.64805158e-19      
1.00144444e+02      1.37889636e-17      
1.00303704e+02      2.25948822e-17      
1.00462963e+02      5.15793937e-18      
1.00622222e+02      3.91069048e-18      
1.00781481e+02      1.07033769e-18      
1.00940741e+02      6.11498456e-19      
1.01100000e+02      1.01803300e-20      
1.01259259e+02      1.13600380e-17      
1.01418519e+02      1.37760151e-17      
1.01577778e+02      2.95701393e-18      
1.01737037e+02      2.08560671e-18      
1.01896296e+02      6.03966796e-19      
1.02055556e+02      2.88335346e-19      
1.02214815e+02      2.51005716e-21      
