# C cross sections.
# Alan Heays 2016-10-28
# Reference: Opacity project TOPBASE, cunto1992, NIST for linelist for excitations
# photoabsorption -- Photoabsorption cross section (cm2)
# photoionisation -- Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   1.0000000       2.45680e-20       2.45680e-20
   1.1000000       2.99491e-20       2.99491e-20
   1.2000000       3.84318e-20       3.84318e-20
   1.3000000       4.78518e-20       4.78518e-20
   1.4000000       5.91016e-20       5.91016e-20
   1.5000000       7.08453e-20       7.08453e-20
   1.6000000       8.52698e-20       8.52698e-20
   1.7000000       1.00154e-19       1.00154e-19
   1.8000000       1.16395e-19       1.16395e-19
   1.9000000       1.35655e-19       1.35655e-19
   2.0000000       1.55025e-19       1.55025e-19
   2.1000000       1.75282e-19       1.75282e-19
   2.2000000       1.99581e-19       1.99581e-19
   2.3000000       2.24376e-19       2.24376e-19
   2.4000000       2.49171e-19       2.49171e-19
   2.5000000       2.75954e-19       2.75954e-19
   2.6000000       3.07051e-19       3.07051e-19
   2.7000000       3.38297e-19       3.38297e-19
   2.8000000       3.69542e-19       3.69542e-19
   2.9000000       4.01142e-19       4.01142e-19
   3.0000000       4.37880e-19       4.37880e-19
   3.1000000       4.76308e-19       4.76308e-19
   3.2000000       5.14736e-19       5.14736e-19
   3.3000000       5.53165e-19       5.53165e-19
   3.4000000       5.91598e-19       5.91598e-19
   3.5000000       6.35057e-19       6.35057e-19
   3.6000000       6.82915e-19       6.82915e-19
   3.7000000       7.30774e-19       7.30774e-19
   3.8000000       7.78633e-19       7.78633e-19
   3.9000000       8.26492e-19       8.26492e-19
   4.0000000       8.74351e-19       8.74351e-19
   4.1000000       7.94841e-19       7.94841e-19
   4.2000000       4.63996e-20       4.63996e-20
   4.3000000       4.91498e-20       4.91498e-20
   4.4000000       5.18999e-20       5.18999e-20
   4.5000000       5.46501e-20       5.46501e-20
   4.6000000       5.74431e-20       5.74431e-20
   4.7000000       6.05252e-20       6.05252e-20
   4.8000000       6.36614e-20       6.36614e-20
   4.9000000       6.67976e-20       6.67976e-20
   5.0000000       6.99338e-20       6.99338e-20
   5.1000000       7.30700e-20       7.30700e-20
   5.2000000       7.63504e-20       7.63504e-20
   5.3000000       7.99568e-20       7.99568e-20
   5.4000000       8.35756e-20       8.35756e-20
   5.5000000       8.71944e-20       8.71944e-20
   5.6000000       9.08132e-20       9.08132e-20
   5.7000000       9.44321e-20       9.44321e-20
   5.8000000       9.80509e-20       9.80509e-20
   5.9000000       1.01738e-19       1.01738e-19
   6.0000000       1.05899e-19       1.05899e-19
   6.1000000       1.10151e-19       1.10151e-19
   6.2000000       1.14403e-19       1.14403e-19
   6.3000000       1.18655e-19       1.18655e-19
   6.4000000       1.22907e-19       1.22907e-19
   6.5000000       1.27159e-19       1.27159e-19
   6.6000000       1.31411e-19       1.31411e-19
   6.7000000       1.35663e-19       1.35663e-19
   6.8000000       1.39915e-19       1.39915e-19
   6.9000000       1.44395e-19       1.44395e-19
   7.0000000       1.49429e-19       1.49429e-19
   7.1000000       1.54488e-19       1.54488e-19
   7.2000000       1.59547e-19       1.59547e-19
   7.3000000       1.64606e-19       1.64606e-19
   7.4000000       1.69665e-19       1.69665e-19
   7.5000000       1.74724e-19       1.74724e-19
   7.6000000       1.79783e-19       1.79783e-19
   7.7000000       1.84843e-19       1.84843e-19
   7.8000000       1.89902e-19       1.89902e-19
   7.9000000       1.94961e-19       1.94961e-19
   8.0000000       2.00020e-19       2.00020e-19
   8.1000000       2.05079e-19       2.05079e-19
   8.2000000       2.10163e-19       2.10163e-19
   8.3000000       2.15983e-19       2.15983e-19
   8.4000000       2.22147e-19       2.22147e-19
   8.5000000       2.28312e-19       2.28312e-19
   8.6000000       2.34477e-19       2.34477e-19
   8.7000000       2.40641e-19       2.40641e-19
   8.8000000       2.46806e-19       2.46806e-19
   8.9000000       2.52970e-19       2.52970e-19
   9.0000000       2.59135e-19       2.59135e-19
   9.1000000       2.65299e-19       2.65299e-19
   9.2000000       2.71464e-19       2.71464e-19
   9.3000000       2.77628e-19       2.77628e-19
   9.4000000       2.83793e-19       2.83793e-19
   9.5000000       2.89957e-19       2.89957e-19
   9.6000000       2.96122e-19       2.96122e-19
   9.7000000       3.02286e-19       3.02286e-19
   9.8000000       3.08451e-19       3.08451e-19
   9.9000000       3.14615e-19       3.14615e-19
  10.0000000       3.20780e-19       3.20780e-19
  10.1000000       3.26944e-19       3.26944e-19
  10.2000000       3.33110e-19       3.33110e-19
  10.3000000       3.40124e-19       3.40124e-19
  10.4000000       3.47892e-19       3.47892e-19
  10.5000000       3.55659e-19       3.55659e-19
  10.6000000       3.63426e-19       3.63426e-19
  10.7000000       3.71193e-19       3.71193e-19
  10.8000000       3.78960e-19       3.78960e-19
  10.9000000       3.86727e-19       3.86727e-19
  11.0000000       3.94495e-19       3.94495e-19
  11.1000000       4.02262e-19       4.02262e-19
  11.2000000       4.10029e-19       4.10029e-19
  11.3000000       4.17796e-19       4.17796e-19
  11.4000000       4.25563e-19       4.25563e-19
  11.5000000       4.33330e-19       4.33330e-19
  11.6000000       4.41098e-19       4.41098e-19
  11.7000000       4.48865e-19       4.48865e-19
  11.8000000       4.56632e-19       4.56632e-19
  11.9000000       4.64399e-19       4.64399e-19
  12.0000000       4.72166e-19       4.72166e-19
  12.1000000       4.79933e-19       4.79933e-19
  12.2000000       4.87701e-19       4.87701e-19
  12.3000000       4.95468e-19       4.95468e-19
  12.4000000       5.03235e-19       5.03235e-19
  12.5000000       5.11002e-19       5.11002e-19
  12.6000000       5.18769e-19       5.18769e-19
  12.7000000       5.26536e-19       5.26536e-19
  12.8000000       5.34303e-19       5.34303e-19
  12.9000000       5.42071e-19       5.42071e-19
  13.0000000       5.49838e-19       5.49838e-19
  13.1000000       5.57605e-19       5.57605e-19
  13.2000000       5.65372e-19       5.65372e-19
  13.3000000       5.73139e-19       5.73139e-19
  13.4000000       5.80906e-19       5.80906e-19
  13.5000000       5.88674e-19       5.88674e-19
  13.6000000       5.97147e-19       5.97147e-19
  13.7000000       6.07423e-19       6.07423e-19
  13.8000000       6.17790e-19       6.17790e-19
  13.9000000       6.28156e-19       6.28156e-19
  14.0000000       6.38523e-19       6.38523e-19
  14.1000000       6.48889e-19       6.48889e-19
  14.2000000       6.59256e-19       6.59256e-19
  14.3000000       6.69622e-19       6.69622e-19
  14.4000000       6.79989e-19       6.79989e-19
  14.5000000       6.90356e-19       6.90356e-19
  14.6000000       7.00722e-19       7.00722e-19
  14.7000000       7.11089e-19       7.11089e-19
  14.8000000       7.21455e-19       7.21455e-19
  14.9000000       7.31822e-19       7.31822e-19
  15.0000000       7.42188e-19       7.42188e-19
  15.1000000       7.52555e-19       7.52555e-19
  15.2000000       7.62921e-19       7.62921e-19
  15.3000000       7.73288e-19       7.73288e-19
  15.4000000       7.83654e-19       7.83654e-19
  15.5000000       7.94021e-19       7.94021e-19
  15.6000000       8.04387e-19       8.04387e-19
  15.7000000       8.14754e-19       8.14754e-19
  15.8000000       8.25120e-19       8.25120e-19
  15.9000000       8.35487e-19       8.35487e-19
  16.0000000       8.45853e-19       8.45853e-19
  16.1000000       8.56220e-19       8.56220e-19
  16.2000000       8.66586e-19       8.66586e-19
  16.3000000       8.76953e-19       8.76953e-19
  16.4000000       8.87319e-19       8.87319e-19
  16.5000000       8.97686e-19       8.97686e-19
  16.6000000       9.08052e-19       9.08052e-19
  16.7000000       9.18419e-19       9.18419e-19
  16.8000000       9.28785e-19       9.28785e-19
  16.9000000       9.39152e-19       9.39152e-19
  17.0000000       9.49518e-19       9.49518e-19
  17.1000000       9.59885e-19       9.59885e-19
  17.2000000       9.70251e-19       9.70251e-19
  17.3000000       9.80618e-19       9.80618e-19
  17.4000000       9.90984e-19       9.90984e-19
  17.5000000       1.00135e-18       1.00135e-18
  17.6000000       1.01172e-18       1.01172e-18
  17.7000000       1.02208e-18       1.02208e-18
  17.8000000       1.03245e-18       1.03245e-18
  17.9000000       1.04282e-18       1.04282e-18
  18.0000000       1.05318e-18       1.05318e-18
  18.1000000       1.06355e-18       1.06355e-18
  18.2000000       1.07392e-18       1.07392e-18
  18.3000000       1.08428e-18       1.08428e-18
  18.4000000       1.09465e-18       1.09465e-18
  18.5000000       1.10502e-18       1.10502e-18
  18.6000000       1.11538e-18       1.11538e-18
  18.7000000       1.12575e-18       1.12575e-18
  18.8000000       1.13612e-18       1.13612e-18
  18.9000000       1.14648e-18       1.14648e-18
  19.0000000       1.15685e-18       1.15685e-18
  19.1000000       1.16722e-18       1.16722e-18
  19.2000000       1.17758e-18       1.17758e-18
  19.3000000       1.18795e-18       1.18795e-18
  19.4000000       1.19831e-18       1.19831e-18
  19.5000000       1.20868e-18       1.20868e-18
  19.6000000       1.21905e-18       1.21905e-18
  19.7000000       1.22941e-18       1.22941e-18
  19.8000000       1.23978e-18       1.23978e-18
  19.9000000       1.25015e-18       1.25015e-18
  20.0000000       1.26051e-18       1.26051e-18
  20.1000000       1.27142e-18       1.27142e-18
  20.2000000       1.28754e-18       1.28754e-18
  20.3000000       1.30495e-18       1.30495e-18
  20.4000000       1.32237e-18       1.32237e-18
  20.5000000       1.33979e-18       1.33979e-18
  20.6000000       1.35721e-18       1.35721e-18
  20.7000000       1.37462e-18       1.37462e-18
  20.8000000       1.39204e-18       1.39204e-18
  20.9000000       1.40946e-18       1.40946e-18
  21.0000000       1.42687e-18       1.42687e-18
  21.1000000       1.44429e-18       1.44429e-18
  21.2000000       1.46171e-18       1.46171e-18
  21.3000000       1.47913e-18       1.47913e-18
  21.4000000       1.49654e-18       1.49654e-18
  21.5000000       1.51396e-18       1.51396e-18
  21.6000000       1.53138e-18       1.53138e-18
  21.7000000       1.54880e-18       1.54880e-18
  21.8000000       1.56621e-18       1.56621e-18
  21.9000000       1.58363e-18       1.58363e-18
  22.0000000       1.60105e-18       1.60105e-18
  22.1000000       1.61846e-18       1.61846e-18
  22.2000000       1.63588e-18       1.63588e-18
  22.3000000       1.65330e-18       1.65330e-18
  22.4000000       1.67072e-18       1.67072e-18
  22.5000000       1.68813e-18       1.68813e-18
  22.6000000       1.70555e-18       1.70555e-18
  22.7000000       1.72297e-18       1.72297e-18
  22.8000000       1.74039e-18       1.74039e-18
  22.9000000       1.75780e-18       1.75780e-18
  23.0000000       1.77522e-18       1.77522e-18
  23.1000000       1.79264e-18       1.79264e-18
  23.2000000       1.81005e-18       1.81005e-18
  23.3000000       1.82747e-18       1.82747e-18
  23.4000000       1.84489e-18       1.84489e-18
  23.5000000       1.86231e-18       1.86231e-18
  23.6000000       1.87972e-18       1.87972e-18
  23.7000000       1.89714e-18       1.89714e-18
  23.8000000       1.91456e-18       1.91456e-18
  23.9000000       1.93198e-18       1.93198e-18
  24.0000000       1.94939e-18       1.94939e-18
  24.1000000       1.96681e-18       1.96681e-18
  24.2000000       1.98423e-18       1.98423e-18
  24.3000000       2.00165e-18       2.00165e-18
  24.4000000       2.01906e-18       2.01906e-18
  24.5000000       2.03648e-18       2.03648e-18
  24.6000000       2.05390e-18       2.05390e-18
  24.7000000       2.07131e-18       2.07131e-18
  24.8000000       2.08873e-18       2.08873e-18
  24.9000000       2.10615e-18       2.10615e-18
  25.0000000       2.12357e-18       2.12357e-18
  25.1000000       2.14098e-18       2.14098e-18
  25.2000000       2.15840e-18       2.15840e-18
  25.3000000       2.17582e-18       2.17582e-18
  25.4000000       2.19324e-18       2.19324e-18
  25.5000000       2.21065e-18       2.21065e-18
  25.6000000       2.22807e-18       2.22807e-18
  25.7000000       2.24549e-18       2.24549e-18
  25.8000000       2.26290e-18       2.26290e-18
  25.9000000       2.28032e-18       2.28032e-18
  26.0000000       2.29774e-18       2.29774e-18
  26.1000000       2.31516e-18       2.31516e-18
  26.2000000       2.33257e-18       2.33257e-18
  26.3000000       2.34999e-18       2.34999e-18
  26.4000000       2.36741e-18       2.36741e-18
  26.5000000       2.38483e-18       2.38483e-18
  26.6000000       2.40224e-18       2.40224e-18
  26.7000000       2.41966e-18       2.41966e-18
  26.8000000       2.43708e-18       2.43708e-18
  26.9000000       2.45449e-18       2.45449e-18
  27.0000000       2.47191e-18       2.47191e-18
  27.1000000       2.48933e-18       2.48933e-18
  27.2000000       2.50675e-18       2.50675e-18
