# H cross sections
# Alan Heays 2016-04-19
# Reference: NIST, mendoza1996, TOPbase_database
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   7.7000000       4.41722e-21       4.41722e-21
   7.8000000       4.55401e-21       4.55401e-21
   7.9000000       4.74011e-21       4.74011e-21
   8.0000000       4.93239e-21       4.93239e-21
   8.1000000       5.12874e-21       5.12874e-21
   8.2000000       5.33150e-21       5.33150e-21
   8.3000000       5.53806e-21       5.53806e-21
   8.4000000       5.75147e-21       5.75147e-21
   8.5000000       5.96831e-21       5.96831e-21
   8.6000000       6.19344e-21       6.19344e-21
   8.7000000       6.42104e-21       6.42104e-21
   8.8000000       6.65734e-21       6.65734e-21
   8.9000000       6.89559e-21       6.89559e-21
   9.0000000       7.14325e-21       7.14325e-21
   9.1000000       7.39338e-21       7.39338e-21
   9.2000000       7.65179e-21       7.65179e-21
   9.3000000       7.91520e-21       7.91520e-21
   9.4000000       8.18351e-21       8.18351e-21
   9.5000000       8.46112e-21       8.46112e-21
   9.6000000       8.74045e-21       8.74045e-21
   9.7000000       9.03073e-21       9.03073e-21
   9.8000000       9.32320e-21       9.32320e-21
   9.9000000       9.62360e-21       9.62360e-21
  10.0000000       9.93126e-21       9.93126e-21
  10.1000000       1.02413e-20       1.02413e-20
  10.2000000       1.05641e-20       1.05641e-20
  10.3000000       1.08889e-20       1.08889e-20
  10.4000000       1.12224e-20       1.12224e-20
  10.5000000       1.15658e-20       1.15658e-20
  10.6000000       1.19100e-20       1.19100e-20
  10.7000000       1.22644e-20       1.22644e-20
  10.8000000       1.26217e-20       1.26217e-20
  10.9000000       1.29842e-20       1.29842e-20
  11.0000000       1.33640e-20       1.33640e-20
  11.1000000       1.37451e-20       1.37451e-20
  11.2000000       1.41326e-20       1.41326e-20
  11.3000000       1.45290e-20       1.45290e-20
  11.4000000       1.49256e-20       1.49256e-20
  11.5000000       1.53364e-20       1.53364e-20
  11.6000000       1.57575e-20       1.57575e-20
  11.7000000       1.61790e-20       1.61790e-20
  11.8000000       1.66135e-20       1.66135e-20
  11.9000000       1.70545e-20       1.70545e-20
  12.0000000       1.74962e-20       1.74962e-20
  12.1000000       1.79548e-20       1.79548e-20
  12.2000000       1.84212e-20       1.84212e-20
  12.3000000       1.88878e-20       1.88878e-20
  12.4000000       1.93677e-20       1.93677e-20
  12.5000000       1.98545e-20       1.98545e-20
  12.6000000       2.03414e-20       2.03414e-20
  12.7000000       2.08440e-20       2.08440e-20
  12.8000000       2.13595e-20       2.13595e-20
  12.9000000       2.18749e-20       2.18749e-20
  13.0000000       2.24001e-20       2.24001e-20
  13.1000000       2.29422e-20       2.29422e-20
  13.2000000       2.34845e-20       2.34845e-20
  13.3000000       2.40314e-20       2.40314e-20
  13.4000000       2.45994e-20       2.45994e-20
  13.5000000       2.51700e-20       2.51700e-20
  13.6000000       2.57411e-20       2.57411e-20
  13.7000000       2.63318e-20       2.63318e-20
  13.8000000       2.69318e-20       2.69318e-20
  13.9000000       2.75318e-20       2.75318e-20
  14.0000000       2.81404e-20       2.81404e-20
  14.1000000       2.87698e-20       2.87698e-20
  14.2000000       2.94001e-20       2.94001e-20
  14.3000000       3.00311e-20       3.00311e-20
  14.4000000       3.06831e-20       3.06831e-20
  14.5000000       3.13448e-20       3.13448e-20
  14.6000000       3.20065e-20       3.20065e-20
  14.7000000       3.26747e-20       3.26747e-20
  14.8000000       3.33706e-20       3.33706e-20
  14.9000000       3.40697e-20       3.40697e-20
  15.0000000       3.47689e-20       3.47689e-20
  15.1000000       3.54802e-20       3.54802e-20
  15.2000000       3.62114e-20       3.62114e-20
  15.3000000       3.69430e-20       3.69430e-20
  15.4000000       3.76745e-20       3.76745e-20
