# b'N photoionisation cross section\nAlan Heays 2015-09-25\nReference: samson1990, dehmer1974\nphotoionisation: Photoionisation cross section (cm2)\nN+: N + hnu -> N+ + e- cross section (cm2)'
# 
# wavelength   photoabsorption   photoionisation
  25.1000000       4.73750e-18       4.73750e-18
  25.2000000       4.76000e-18       4.76000e-18
  25.3000000       4.79000e-18       4.79000e-18
  25.4000000       4.82000e-18       4.82000e-18
  25.5000000       4.85000e-18       4.85000e-18
  25.6000000       4.88000e-18       4.88000e-18
  25.7000000       4.91000e-18       4.91000e-18
  25.8000000       4.94000e-18       4.94000e-18
  25.9000000       4.97000e-18       4.97000e-18
  26.0000000       5.00000e-18       5.00000e-18
  26.1000000       5.03000e-18       5.03000e-18
  26.2000000       5.06000e-18       5.06000e-18
  26.3000000       5.09000e-18       5.09000e-18
  26.4000000       5.12000e-18       5.12000e-18
  26.5000000       5.15000e-18       5.15000e-18
  26.6000000       5.18000e-18       5.18000e-18
  26.7000000       5.21000e-18       5.21000e-18
  26.8000000       5.24000e-18       5.24000e-18
  26.9000000       5.27000e-18       5.27000e-18
  27.0000000       5.30000e-18       5.30000e-18
  27.1000000       5.33000e-18       5.33000e-18
  27.2000000       5.36000e-18       5.36000e-18
  27.3000000       5.39000e-18       5.39000e-18
  27.4000000       5.42000e-18       5.42000e-18
  27.5000000       5.45000e-18       5.45000e-18
  27.6000000       5.48000e-18       5.48000e-18
  27.7000000       5.51000e-18       5.51000e-18
  27.8000000       5.54000e-18       5.54000e-18
  27.9000000       5.57000e-18       5.57000e-18
  28.0000000       5.60000e-18       5.60000e-18
  28.1000000       5.63000e-18       5.63000e-18
  28.2000000       5.66000e-18       5.66000e-18
  28.3000000       5.69000e-18       5.69000e-18
  28.4000000       5.72000e-18       5.72000e-18
  28.5000000       5.75000e-18       5.75000e-18
  28.6000000       5.78000e-18       5.78000e-18
  28.7000000       5.81000e-18       5.81000e-18
  28.8000000       5.84000e-18       5.84000e-18
