# O photoionisation cross section
# Alan Heays 2017-12-15
# references: mendoza1996 http://stacks.iop.org/1402-4896/1996/i=T65/a=030, TOPbase, huebner2015 10.1016/j.pss.2014.11.022,
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   4.9000000       5.38686e-20       5.38686e-20
   5.0000000       5.63682e-20       5.63682e-20
   5.1000000       5.98198e-20       5.98198e-20
   5.2000000       6.34066e-20       6.34066e-20
   5.3000000       6.71342e-20       6.71342e-20
   5.4000000       7.10001e-20       7.10001e-20
   5.5000000       7.50174e-20       7.50174e-20
   5.6000000       7.91877e-20       7.91877e-20
   5.7000000       8.35072e-20       8.35072e-20
   5.8000000       8.79804e-20       8.79804e-20
   5.9000000       9.26106e-20       9.26106e-20
   6.0000000       9.73828e-20       9.73828e-20
   6.1000000       1.02313e-19       1.02313e-19
   6.2000000       1.07454e-19       1.07454e-19
   6.3000000       1.12774e-19       1.12774e-19
   6.4000000       1.18208e-19       1.18208e-19
   6.5000000       1.23803e-19       1.23803e-19
   6.6000000       1.29605e-19       1.29605e-19
   6.7000000       1.35609e-19       1.35609e-19
   6.8000000       1.41811e-19       1.41811e-19
   6.9000000       1.48147e-19       1.48147e-19
   7.0000000       1.54630e-19       1.54630e-19
   7.1000000       1.61390e-19       1.61390e-19
   7.2000000       1.68321e-19       1.68321e-19
   7.3000000       1.75412e-19       1.75412e-19
   7.4000000       1.82747e-19       1.82747e-19
   7.5000000       1.90271e-19       1.90271e-19
   7.6000000       1.97952e-19       1.97952e-19
   7.7000000       2.05852e-19       2.05852e-19
   7.8000000       2.14001e-19       2.14001e-19
   7.9000000       2.22321e-19       2.22321e-19
   8.0000000       2.30842e-19       2.30842e-19
   8.1000000       2.39621e-19       2.39621e-19
   8.2000000       2.48627e-19       2.48627e-19
   8.3000000       2.57864e-19       2.57864e-19
   8.4000000       2.67255e-19       2.67255e-19
   8.5000000       2.76885e-19       2.76885e-19
   8.6000000       2.86776e-19       2.86776e-19
   8.7000000       2.96883e-19       2.96883e-19
   8.8000000       3.07298e-19       3.07298e-19
   8.9000000       3.17873e-19       3.17873e-19
   9.0000000       3.28752e-19       3.28752e-19
   9.1000000       3.39802e-19       3.39802e-19
   9.2000000       3.51146e-19       3.51146e-19
   9.3000000       3.62713e-19       3.62713e-19
   9.4000000       3.74533e-19       3.74533e-19
   9.5000000       3.86615e-19       3.86615e-19
   9.6000000       3.98894e-19       3.98894e-19
   9.7000000       4.11514e-19       4.11514e-19
   9.8000000       4.24325e-19       4.24325e-19
   9.9000000       4.37512e-19       4.37512e-19
  10.0000000       4.50879e-19       4.50879e-19
  10.1000000       4.64607e-19       4.64607e-19
  10.2000000       4.78498e-19       4.78498e-19
  10.3000000       4.92757e-19       4.92757e-19
  10.4000000       5.07189e-19       5.07189e-19
  10.5000000       5.21979e-19       5.21979e-19
  10.6000000       5.36970e-19       5.36970e-19
  10.7000000       5.52337e-19       5.52337e-19
  10.8000000       5.68011e-19       5.68011e-19
  10.9000000       5.83928e-19       5.83928e-19
  11.0000000       6.00197e-19       6.00197e-19
  11.1000000       6.16634e-19       6.16634e-19
  11.2000000       6.33540e-19       6.33540e-19
  11.3000000       6.50548e-19       6.50548e-19
  11.4000000       6.68055e-19       6.68055e-19
  11.5000000       6.85669e-19       6.85669e-19
  11.6000000       7.03788e-19       7.03788e-19
  11.7000000       7.22165e-19       7.22165e-19
  11.8000000       7.40807e-19       7.40807e-19
  11.9000000       7.59899e-19       7.59899e-19
  12.0000000       7.79089e-19       7.79089e-19
  12.1000000       7.98867e-19       7.98867e-19
  12.2000000       8.18753e-19       8.18753e-19
  12.3000000       8.39063e-19       8.39063e-19
  12.4000000       8.59718e-19       8.59718e-19
  12.5000000       8.80525e-19       8.80525e-19
  12.6000000       9.01999e-19       9.01999e-19
  12.7000000       9.23553e-19       9.23553e-19
