# Numerical radiation field:  solar
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
67.05700 3.86819e+02
67.06149 4.18047e+02
67.06597 4.88940e+02
67.07045 4.59715e+02
67.07493 4.73280e+02
67.07941 5.63424e+02
67.08390 6.07026e+02
67.08838 7.14808e+02
67.09286 8.29908e+02
67.09734 8.21776e+02
67.10182 7.52411e+02
67.10631 7.19869e+02
67.11079 6.60881e+02
67.11527 6.74861e+02
67.11975 8.72685e+02
67.12423 1.07205e+03
67.12872 1.49809e+03
67.13320 1.97505e+03
67.13768 1.99868e+03
67.14216 1.59755e+03
67.14664 1.16913e+03
67.15113 8.63859e+02
67.15561 7.91645e+02
67.16009 7.28565e+02
67.16457 7.08812e+02
67.16906 8.25748e+02
67.17354 8.85322e+02
67.17802 8.55744e+02
67.18250 7.50379e+02
67.18698 6.44371e+02
67.19147 6.79324e+02
67.19595 7.71460e+02
67.20043 6.96861e+02
67.20491 6.36698e+02
67.20939 5.20405e+02
67.21388 5.25650e+02
67.21836 4.72907e+02
67.22284 5.05330e+02
67.22732 4.86601e+02
67.23181 5.05905e+02
67.23629 4.13157e+02
67.24077 3.88139e+02
67.24525 4.20812e+02
67.24974 4.50121e+02
67.25422 4.58761e+02
67.25870 4.21493e+02
67.26318 4.37445e+02
67.26766 4.29156e+02
67.27215 5.34334e+02
67.27663 6.75455e+02
67.28111 7.83097e+02
67.28559 1.06918e+03
67.29008 1.18411e+03
67.29456 9.58007e+02
67.29904 9.57027e+02
67.30352 6.81359e+02
67.30801 5.78545e+02
67.31249 4.49413e+02
67.31697 4.58503e+02
67.32145 4.58518e+02
67.32594 4.80173e+02
67.33042 5.06973e+02
67.33490 5.00052e+02
67.33938 4.39108e+02
67.34387 5.02543e+02
67.34835 4.77838e+02
67.35283 4.48643e+02
67.35731 4.22419e+02
67.36180 4.73519e+02
67.36628 5.86255e+02
67.37076 7.57567e+02
67.37524 8.67285e+02
67.37973 8.05837e+02
67.38421 6.56107e+02
67.38869 5.39906e+02
67.39317 5.47031e+02
67.39766 4.98943e+02
67.40214 4.13135e+02
67.40662 4.37391e+02
67.41111 4.02421e+02
67.41559 4.52811e+02
67.42007 5.11029e+02
67.42455 5.45650e+02
67.42904 6.25576e+02
67.43352 6.33978e+02
67.43800 6.80651e+02
67.44248 7.21937e+02
67.44697 7.08319e+02
67.45145 6.78759e+02
67.45593 5.83783e+02
67.46041 4.67451e+02
67.46490 5.04239e+02
67.46938 4.13595e+02
67.47386 4.76963e+02
67.47835 5.00001e+02
67.48283 4.70485e+02
67.48731 4.84668e+02
67.49179 4.93360e+02
67.49628 4.84481e+02
67.50076 4.62568e+02
67.50524 4.11907e+02
67.50973 4.79009e+02
67.51421 5.60034e+02
67.51869 4.88714e+02
67.52317 4.55411e+02
67.52766 4.63673e+02
67.53214 4.70044e+02
67.53662 5.14408e+02
67.54111 4.94560e+02
67.54559 5.14655e+02
67.55007 4.91521e+02
67.55455 4.70494e+02
67.55904 4.76956e+02
67.56352 5.07296e+02
67.56800 5.04606e+02
67.57249 5.09103e+02
67.57697 4.85488e+02
67.58145 5.52657e+02
67.58594 4.62987e+02
67.59042 5.45120e+02
67.60690 5.34690e+02
67.60718 5.06946e+02
67.61166 5.49508e+02
67.61615 5.32463e+02
67.62063 5.69975e+02
67.62511 6.45076e+02
67.62960 6.74322e+02
67.63408 8.24770e+02
67.63856 1.13363e+03
67.64305 1.40579e+03
67.64753 1.59423e+03
67.65201 1.61125e+03
67.65650 1.35872e+03
67.66098 1.10346e+03
67.66546 8.26828e+02
67.66994 9.01355e+02
67.67443 1.06937e+03
67.67891 1.15334e+03
67.68340 1.07582e+03
67.68788 9.05617e+02
67.69236 5.87557e+02
67.69684 5.96279e+02
67.70133 5.09787e+02
67.70581 4.63301e+02
67.71029 4.84770e+02
67.71478 4.28757e+02
67.71926 5.40892e+02
67.72374 5.50205e+02
67.72823 5.19772e+02
67.73271 5.44567e+02
67.73719 5.33305e+02
67.74168 5.42559e+02
67.74616 5.22262e+02
67.75064 5.13341e+02
67.75513 5.77748e+02
67.75961 7.12761e+02
67.76409 9.83899e+02
67.76858 1.32950e+03
67.77306 1.53908e+03
67.77755 1.38506e+03
67.78203 1.12916e+03
67.78651 8.48505e+02
67.79099 6.66513e+02
67.79548 6.55489e+02
67.79996 6.41801e+02
67.80445 5.73384e+02
67.80893 5.95935e+02
67.81341 5.81097e+02
67.81790 5.60873e+02
67.82238 6.90127e+02
67.82686 6.30860e+02
67.83135 7.76054e+02
67.83583 1.21245e+03
67.84031 1.90981e+03
67.84480 2.14626e+03
67.84928 1.88938e+03
67.85376 1.36833e+03
67.85825 8.91753e+02
67.86273 7.03944e+02
67.86722 6.56586e+02
67.87170 5.94774e+02
67.87618 5.38106e+02
67.88067 6.71727e+02
67.88515 6.43971e+02
67.88963 6.67867e+02
67.89412 6.78060e+02
67.89860 7.47481e+02
67.90309 1.02266e+03
67.90757 1.23111e+03
67.91205 1.21624e+03
67.91654 1.06615e+03
67.92102 7.66018e+02
67.92550 6.43602e+02
67.92999 6.14695e+02
67.93447 6.57783e+02
67.93896 6.49730e+02
67.94344 5.62357e+02
67.94792 5.88686e+02
67.95241 5.97973e+02
67.95689 5.26072e+02
67.96138 6.05649e+02
67.96586 5.92006e+02
67.97034 6.40379e+02
67.97483 6.59732e+02
67.97931 7.15835e+02
67.98379 7.54546e+02
67.98828 7.01921e+02
67.99276 6.83313e+02
67.99725 7.69789e+02
68.00173 8.94750e+02
68.00621 8.96325e+02
68.01070 9.06512e+02
68.01518 1.11038e+03
68.01967 1.33315e+03
68.02415 1.77939e+03
68.02863 2.44730e+03
68.03312 3.02373e+03
68.03760 3.28525e+03
68.04209 2.94407e+03
68.04657 2.79200e+03
68.05105 2.42275e+03
68.05554 2.89178e+03
68.06002 4.42712e+03
68.06451 5.41353e+03
68.06899 6.03483e+03
68.07347 5.44837e+03
68.07796 3.65717e+03
68.08244 2.89793e+03
68.08693 2.89577e+03
68.09141 3.17924e+03
68.09589 3.44157e+03
68.10038 3.13714e+03
68.10486 2.45565e+03
68.10935 1.78348e+03
68.11383 1.39772e+03
68.11831 1.30855e+03
68.12280 1.30392e+03
68.12728 1.25646e+03
68.13177 1.33049e+03
68.13625 1.47099e+03
68.14074 1.69467e+03
68.14522 2.09730e+03
68.14970 2.71536e+03
68.15419 4.05396e+03
68.15867 5.86897e+03
68.16316 7.85418e+03
68.16764 9.34680e+03
68.17213 9.00944e+03
68.17661 7.10585e+03
68.18109 4.53797e+03
68.18558 2.57062e+03
68.19006 1.61009e+03
68.19455 1.23170e+03
68.19903 1.00559e+03
68.20352 1.04446e+03
68.20800 1.09191e+03
68.21249 9.35023e+02
68.21697 1.04771e+03
68.22145 1.01180e+03
68.22594 1.11536e+03
68.23042 9.77441e+02
68.23491 1.02717e+03
68.23939 9.79192e+02
68.24388 9.61254e+02
68.24836 1.00814e+03
68.25284 9.67889e+02
68.25733 9.39978e+02
68.26181 9.57743e+02
68.26630 1.03085e+03
68.27078 1.04457e+03
68.27527 9.69045e+02
68.27975 9.96330e+02
68.28424 1.03250e+03
68.28872 1.13216e+03
68.29321 1.16084e+03
68.29769 1.17113e+03
68.30218 1.31661e+03
68.30666 1.32653e+03
68.31114 1.33017e+03
68.31563 1.17685e+03
68.32011 1.16037e+03
68.32460 1.19553e+03
68.32908 1.15452e+03
68.33357 1.27946e+03
68.33805 1.52455e+03
68.34254 2.00236e+03
68.34702 2.82802e+03
68.35151 3.74311e+03
68.35599 4.45927e+03
68.36047 4.12196e+03
68.36496 3.21164e+03
68.36944 2.01107e+03
68.37393 1.39428e+03
68.37841 1.21265e+03
68.38290 1.02050e+03
68.38738 1.14934e+03
68.39187 1.22992e+03
68.39635 1.18075e+03
68.40084 1.38533e+03
68.40532 1.43839e+03
68.40981 1.18204e+03
68.41429 1.24140e+03
68.41878 1.04779e+03
68.42326 9.28023e+02
68.42775 1.04149e+03
68.43223 9.77186e+02
68.43672 9.50912e+02
68.44120 1.08763e+03
68.44569 1.02067e+03
68.45017 1.07909e+03
68.45466 1.25283e+03
68.45914 1.32072e+03
68.46363 1.25160e+03
68.46811 1.63467e+03
68.47260 1.73235e+03
68.47708 1.93079e+03
68.48157 2.68855e+03
68.48605 4.48270e+03
68.49053 7.55716e+03
68.49502 9.48618e+03
68.49950 9.33871e+03
68.50399 7.47867e+03
68.50848 4.85840e+03
68.51296 2.91058e+03
68.51744 1.92402e+03
68.52193 1.58613e+03
68.52642 1.86591e+03
68.53090 2.78417e+03
68.53539 4.89527e+03
68.53987 9.03744e+03
68.54436 1.45840e+04
68.54884 1.86553e+04
68.55333 1.83247e+04
68.55781 1.39638e+04
68.56230 1.14835e+04
68.56678 1.52620e+04
68.57127 2.54397e+04
68.57575 3.72961e+04
68.58024 4.29016e+04
68.58472 3.84737e+04
68.58921 2.59872e+04
68.59369 1.36647e+04
68.59818 6.34078e+03
68.60266 3.08936e+03
68.60715 1.94277e+03
68.61163 1.77270e+03
68.61612 2.38598e+03
68.62060 3.94588e+03
68.62509 6.23471e+03
68.62957 8.89951e+03
68.63406 1.00610e+04
68.63854 8.76503e+03
68.64303 6.22829e+03
68.64751 3.80994e+03
68.65200 2.22889e+03
68.65649 1.55460e+03
68.66097 1.28735e+03
68.66546 1.23782e+03
68.66994 1.23541e+03
68.67443 1.35068e+03
68.67891 1.39553e+03
68.68340 1.63292e+03
68.68788 2.08417e+03
68.69237 3.13536e+03
68.69685 4.41782e+03
68.70134 5.66950e+03
68.70583 6.00396e+03
68.71031 4.94429e+03
68.71480 3.83044e+03
68.71928 3.77612e+03
68.72377 5.32391e+03
68.72825 8.12498e+03
68.73274 1.04017e+04
68.73722 9.53064e+03
68.74171 6.37992e+03
68.74619 3.67148e+03
68.75068 2.05759e+03
68.75517 1.50902e+03
68.75965 1.27153e+03
68.76414 1.13212e+03
68.76862 1.29165e+03
68.77311 1.17853e+03
68.77759 1.16388e+03
68.78208 1.32040e+03
68.78656 1.17202e+03
68.79105 1.07598e+03
68.79554 1.06120e+03
68.80002 1.08506e+03
68.80451 1.09743e+03
68.80899 1.15089e+03
68.81348 1.18238e+03
68.81796 1.20062e+03
68.82245 1.21725e+03
68.82694 1.17313e+03
68.83142 1.23779e+03
68.83591 1.09153e+03
68.84039 1.02754e+03
68.84488 1.04480e+03
68.84936 1.09084e+03
68.85385 1.08610e+03
68.85833 1.05474e+03
68.86282 1.06119e+03
68.86731 1.06004e+03
68.87179 1.01717e+03
68.87628 1.11171e+03
68.88076 1.17301e+03
68.88525 1.13930e+03
68.88974 1.20467e+03
68.89422 1.37027e+03
68.89871 1.60010e+03
68.90319 1.56324e+03
68.90768 1.33067e+03
68.91217 1.29823e+03
68.91665 1.14519e+03
68.92114 1.08686e+03
68.92562 1.04276e+03
68.93011 9.90940e+02
68.93459 1.13139e+03
68.93908 1.12316e+03
68.94357 1.12934e+03
68.94805 1.27180e+03
68.95254 1.34305e+03
68.95702 1.58819e+03
68.96151 1.75305e+03
68.96600 1.70450e+03
68.97048 1.57690e+03
68.97497 1.33235e+03
68.97945 1.20353e+03
68.98394 1.08873e+03
68.98843 1.19254e+03
68.99291 1.26682e+03
68.99740 1.19081e+03
69.00188 1.20984e+03
69.00637 1.32759e+03
69.01086 1.44435e+03
69.01534 1.60832e+03
69.01983 1.50355e+03
69.02432 1.34948e+03
69.02880 1.41658e+03
69.03329 1.55980e+03
69.03777 2.26212e+03
69.04226 3.44797e+03
69.04675 5.37068e+03
69.05123 6.88924e+03
69.05572 6.88231e+03
69.06020 5.29393e+03
69.06469 3.36493e+03
69.06918 2.13576e+03
69.07366 1.51884e+03
69.07815 1.25360e+03
69.08263 1.25543e+03
69.08712 1.11193e+03
69.09161 1.11812e+03
69.09609 1.08865e+03
69.10058 1.14707e+03
69.10507 1.41191e+03
69.10955 1.55299e+03
69.11404 1.66426e+03
69.11853 1.99834e+03
69.12301 2.09950e+03
69.12750 2.18800e+03
69.13198 2.53454e+03
69.13647 2.81294e+03
69.14096 3.05411e+03
69.14544 2.89188e+03
69.14993 2.37200e+03
69.15442 1.95362e+03
69.15890 1.58448e+03
69.16339 1.37679e+03
69.16787 1.23523e+03
69.17236 1.19791e+03
69.17685 1.16282e+03
69.18133 1.10214e+03
69.18582 1.09149e+03
69.19031 1.10482e+03
69.19479 1.13526e+03
69.19928 1.07331e+03
69.20377 1.01194e+03
69.20825 1.11497e+03
69.21274 1.14545e+03
69.21723 1.23718e+03
69.22171 1.08061e+03
69.22620 1.11277e+03
69.23069 1.09346e+03
69.23517 1.19545e+03
69.23966 1.16790e+03
69.24415 1.12376e+03
69.24863 1.16923e+03
69.25312 1.18206e+03
69.25760 1.33335e+03
69.26209 1.29899e+03
69.26658 1.38651e+03
69.27106 1.32519e+03
