Planet,P[d],Rp[REarth],Rp_err,Mp[MEarth],Mp_err,Teq[K],Teq_err,Age[Gyr],age_err,Mstar[Msun],Ms_err,Rstar[Rsun],Rs_err,Teff[K],Teff_err,H,HeI,DHe[%],EW_He[mA],EW_up_err[mA],EW_low_err[mA],F_XUV[W/m2]
55 Cnc e,0.7365,1.875,0.029,7.99,0.33,1958,15,10.2,2.5,0.905,0.015,0.943,0.01,5172,18,,ND,0.025,0.27,0.,0.,4.57
AU Mic b,8.463,4.16,0.18,11.7,5.0,593,21,0.022,0.003,0.5,0.03,0.75,0.03,3700,100,,ND,0.34,3.7,0.,0.,22.9
GJ436 b,2.6441,4.19,0.1,23.14,0.76,686,10,6.0,4.0,0.445,0.044,0.449,0.019,3479,60,YL,ND,0.41,1.45,0.,0.,0.145
GJ806 b,0.9263,1.331,0.023,1.9,0.17,940,10,4.0,4.0,0.413,0.011,0.4144,0.0038,3600,16,NDH,ND,0.7,7.4,0.,0.,1.62
GJ1214 b,1.5804,2.742,0.05,8.17,0.43,596,19,3.0,7.0,0.178,0.01,0.215,0.008,3250,100,,ND,2.1,28.9,9.4,8.5,0.2951
GJ3470 b,3.3366,4.04,0.11,11.44,0.64,733,23,1.65,1.4,0.476,0.019,0.474,0.014,3725,54,YL,Y,1.5,20.72,1.3,1.3,1.44
GJ9827 b,1.209,1.529,0.058,4.87,0.37,1114,44.,10.0,5.0,0.593,0.018,0.579,0.018,4294,52,NDB,ND,0.21,1.86,0.,0.,0.72
GJ9827 d,6.2018,1.955,0.075,3.42,0.62,646,26.,10.0,5.0,0.593,0.018,0.579,0.018,4294,52,NDB,ND,0.3,1.24,0.,0.,0.081
HD63433 b,7.1079,2.141,0.09,5.5,2.3,967,19.,0.414,0.023,0.956,0.022,0.934,0.029,5553,56,NDB,ND,0.34,2.0,0.,0.,10.3
HD63433 c,20.5438,2.69,0.11,15.5,3.9,679,13.,0.414,0.023,0.956,0.022,0.934,0.029,5553,56,YL,ND,0.4,4.2,0.,0.,2.5
HD73583 b,6.398,2.79,0.1,10.2,3.4,721,21,0.49,0.19,0.71,0.02,0.66,0.02,4511,110,NDH,Y,0.72,8.6,0.6,0.6,3.1
HD73583 c,18.8797,2.39,0.1,9.7,1.8,503,15,0.49,0.19,0.71,0.02,0.66,0.02,4511,110,NDH,ND,0.5,5.3,0.,0.,0.7
HD89345 b,11.8144,6.86,0.14,35.6,3.2,1053,14,9.4,1.3,1.12,0.04,1.657,0.02,5499,73,,NC,0.7,7.4,0.,0.,0.244
HD97658 b,9.4893,2.247,0.098,7.55,0.83,757,13.,6.0,1.0,0.77,0.05,0.741,0.024,5170,50,,ND,0.21,0.9,0.,0.,0.128
